case,error_excerpt,input_diff_mv,measured,ngspice_returncode,ngspice_timed_out,pre_n_v,pre_p_v,resolved_correct_polarity
negative_target_edge,"
No compatibility mode selected!


Circuit: * sky130 latch-alone from measured preamp voltages.

Error on line 0 :
  m.xinp.msky130_fd_pr__nfet_01v8 outp inp tail 0 xinp:sky130_fd_pr__nfet_01v8__model l=    1.500000000000000e-01     w=    2.000000000000000e-01     nf=    1.000000000000000e+00     ad=    0.000000000000000e+00     as=    0.000000000000000e+00     pd=    0.000000000000000e+00     ps=    0.000000000000000e+00     nrd=    0.000000000000000e+00     nrs=    0.000000000000000e+00     sa=    0.000000000000000e+00     sb=    0.000000000000000e+00     sd=    0.000000000000000e+00   
could not find a valid modelname
    Simulation interrupted due to error!

Note: No "".plot"", "".print"", or "".fourier"" lines; no simulations run
",-0.15297058540778352,False,1,False,0.2017989,0.2069412,False
positive_target_edge,"
No compatibility mode selected!


Circuit: * sky130 latch-alone from measured preamp voltages.

Error on line 0 :
  m.xinp.msky130_fd_pr__nfet_01v8 outp inp tail 0 xinp:sky130_fd_pr__nfet_01v8__model l=    1.500000000000000e-01     w=    2.000000000000000e-01     nf=    1.000000000000000e+00     ad=    0.000000000000000e+00     as=    0.000000000000000e+00     pd=    0.000000000000000e+00     ps=    0.000000000000000e+00     nrd=    0.000000000000000e+00     nrs=    0.000000000000000e+00     sa=    0.000000000000000e+00     sb=    0.000000000000000e+00     sd=    0.000000000000000e+00   
could not find a valid modelname
    Simulation interrupted due to error!

Note: No "".plot"", "".print"", or "".fourier"" lines; no simulations run
",0.0,False,1,False,0.2016252,0.2079585,False
positive_target_edge,"
No compatibility mode selected!


Circuit: * sky130 latch-alone from measured preamp voltages.

Error on line 0 :
  m.xinp.msky130_fd_pr__nfet_01v8 outp inp tail 0 xinp:sky130_fd_pr__nfet_01v8__model l=    1.500000000000000e-01     w=    2.000000000000000e-01     nf=    1.000000000000000e+00     ad=    0.000000000000000e+00     as=    0.000000000000000e+00     pd=    0.000000000000000e+00     ps=    0.000000000000000e+00     nrd=    0.000000000000000e+00     nrs=    0.000000000000000e+00     sa=    0.000000000000000e+00     sb=    0.000000000000000e+00     sd=    0.000000000000000e+00   
could not find a valid modelname
    Simulation interrupted due to error!

Note: No "".plot"", "".print"", or "".fourier"" lines; no simulations run
",0.15297058540778352,False,1,False,0.2007549,0.2079852,False
