token,evidence_scenario,sample_valid,analog_candidate,requested_tile,maintenance_budget,tile_actions,tile_busy,residual_q8,drift_age,sensitivity_q8,cumulative_error_q8,scheduler_decision,governor_decision,governor_action,final_decision,selected_tile,final_reason,final_reason_code,next_cumulative_error_q8
0,full_calibration,0,1,0,1,0003,0000,12,0,90,0,0,0,0,0,0,no_sample,0,0
1,serve,1,1,1,1,0003,0100,10,1,140,4,1,1,0,1,0,analog_spare_tile,10,9
2,serve,1,1,2,1,0003,0010,9,2,210,9,1,1,0,1,0,analog_spare_tile,10,16
3,serve,1,1,3,1,0003,1100,8,3,150,16,1,1,0,1,2,analog_spare_tile,10,22
4,serve,1,1,0,1,0003,1110,12,4,120,22,3,1,0,3,3,scheduler_probe,4,29
5,serve,1,1,1,1,0013,1111,10,5,230,29,0,1,0,0,1,scheduler_digital,2,38
6,serve,1,0,2,1,0013,0000,9,6,160,38,0,0,0,0,2,not_analog_candidate,1,38
7,serve,1,1,3,1,0013,0100,8,7,100,47,1,1,0,1,0,analog_spare_tile,10,55
8,serve,1,1,0,1,0013,0010,12,8,90,55,1,1,0,1,0,analog_requested_tile,9,65
9,column_3_calibration,1,1,1,1,0013,1100,10,0,140,65,2,1,0,2,2,scheduler_recalibrate,3,69
10,serve,1,1,2,1,0213,1110,9,1,210,69,3,1,0,3,3,scheduler_probe,4,75
11,serve,1,1,3,0,0213,1111,8,2,150,75,0,1,1,0,3,scheduler_digital,2,80
12,serve,1,1,0,1,0213,0000,12,3,120,80,1,1,1,1,0,analog_recalibrate_soon,11,87
13,serve,1,1,1,1,0213,0100,10,4,230,87,1,1,1,1,0,analog_recalibrate_soon,11,96
14,full_calibration,1,0,2,1,0213,0010,9,0,160,96,0,0,0,0,2,not_analog_candidate,1,96
15,serve,1,1,3,1,0203,1100,8,1,100,24,1,1,0,1,2,analog_spare_tile,10,28
16,serve,1,1,0,1,0203,1110,12,2,90,28,3,1,0,3,3,scheduler_probe,4,33
17,serve,1,1,1,1,0203,1111,10,3,140,33,0,1,0,0,1,scheduler_digital,2,39
18,serve,1,1,2,1,0203,0000,9,4,210,39,1,1,0,1,2,analog_requested_tile,9,47
19,serve,1,1,3,1,0203,0100,8,5,150,47,1,1,0,1,0,analog_spare_tile,10,55
20,column_3_calibration,1,1,0,1,0202,0010,12,0,120,55,1,1,0,1,0,analog_requested_tile,9,59
21,serve,1,1,1,1,0202,1100,10,1,230,59,1,1,0,1,2,analog_spare_tile,10,65
22,serve,1,1,2,1,0202,1110,9,2,160,65,0,1,0,0,2,scheduler_digital,2,71
23,serve,1,1,3,0,0202,1111,8,3,100,71,0,1,0,0,3,scheduler_digital,2,76
24,serve,1,1,0,1,0202,0000,12,4,90,76,1,1,1,1,0,analog_recalibrate_soon,11,83
25,full_calibration,1,1,1,1,1202,0100,10,0,140,83,1,1,1,1,2,analog_recalibrate_soon,11,87
26,serve,1,1,2,1,1202,0010,9,1,210,87,2,1,1,2,0,scheduler_recalibrate,3,93
27,serve,0,1,3,1,1202,1100,8,2,150,93,0,0,0,0,3,no_sample,0,93
28,serve,1,1,0,1,1202,1110,12,3,120,24,0,1,0,0,0,scheduler_digital,2,31
29,serve,1,1,1,1,1202,1111,10,4,230,31,0,1,0,0,1,scheduler_digital,2,40
30,serve,1,1,2,1,0003,0000,9,5,160,40,1,1,0,1,2,analog_requested_tile,9,48
31,serve,1,0,3,1,0003,0100,8,6,100,48,0,0,0,0,3,not_analog_candidate,1,48
32,serve,1,1,0,1,0003,0010,12,7,90,56,1,1,0,1,0,analog_requested_tile,9,65
33,serve,1,1,1,1,0003,1100,10,8,140,65,1,1,0,1,2,analog_spare_tile,10,75
34,serve,1,1,2,1,0003,1110,9,9,210,75,3,1,1,3,3,scheduler_probe,4,87
35,serve,1,1,3,1,0013,1111,8,10,150,87,0,0,1,0,3,scheduler_digital,2,87
