case,clk_start_ns,expected_sign,input_diff_mv,outn_final_v,outn_minus_outp_matches_contract,outn_minus_outp_sign,outn_minus_outp_v,outp_final_v,outp_minus_outn_matches_contract,outp_minus_outn_sign,outp_minus_outn_v
negative_target_edge_clk_0.2ns,0.2,-1,-0.15297058540778352,1.795879,False,1,1.3709634,0.4249156,True,-1,-1.3709634
negative_target_edge_clk_0.6ns,0.6,-1,-0.15297058540778352,1.795879,False,1,1.3709634,0.4249156,True,-1,-1.3709634
negative_target_edge_clk_1.0ns,1.0,-1,-0.15297058540778352,1.795879,False,1,1.3709634,0.4249156,True,-1,-1.3709634
positive_target_edge_clk_0.2ns,0.2,1,0.15297058540778352,0.4249156,False,-1,-1.3709634,1.795879,True,1,1.3709634
positive_target_edge_clk_0.6ns,0.6,1,0.15297058540778352,0.4249156,False,-1,-1.3709634,1.795879,True,1,1.3709634
positive_target_edge_clk_1.0ns,1.0,1,0.15297058540778352,0.4249156,False,-1,-1.3709634,1.795879,True,1,1.3709634
