expected_sign,input_diff_mv,measured,measured_sign,ngspice_returncode,ngspice_timed_out,output_margin_pass,preamp_output_diff_v,reset_mode,sample_diff_v,sample_to_sense_transfer_ratio,sense_diff_v,sense_to_preamp_gain_v_per_v,sign_preserved,source_sense_diff_v,tail_v
-1,-0.15297058540778352,True,-1,0,False,False,-5.650000000001487e-05,reset_pulse,-0.00015299999999995872,0.04509803921518118,-6.899999999920858e-06,8.188405797197523,True,-6.69999999998172e-05,0.3004504
1,0.15297058540778352,True,1,0,False,False,5.9299999999984365e-05,reset_pulse,0.00015299999999995872,0.04183006535923999,6.399999999961992e-06,9.265625000052584,True,6.69999999998172e-05,0.3004504
