case,target_input_v,measured_input_v,acquired_v,held_v,hold_delta_v,hold_abs_delta_v,total_abs_error_v,half_lsb_12b_v,pass_hold_delta_half_lsb_12b,pass_total_error_half_lsb_12b
low_hold,0.3,0.3,0.3,0.2952268,-0.0047731999999999775,0.0047731999999999775,0.0047731999999999775,0.0002197265625,False,False
mid_hold,0.9,0.9,0.9001369,0.8990878,-0.001049100000000025,0.001049100000000025,0.0009122000000000297,0.0002197265625,False,False
high_hold,1.5,1.5,1.5,1.505557,0.005557000000000034,0.005557000000000034,0.005557000000000034,0.0002197265625,False,False
