expected_sign,input_diff_mv,measured,measured_sign,ngspice_returncode,ngspice_timed_out,output_margin_pass,pre_n_end_v,pre_p_end_v,preamp_output_diff_v,reset_mode,sense_diff_v,sense_to_preamp_gain_v_per_v,sign_preserved,tail_end_v
-1,-0.15297058540778352,True,-1,0,False,True,0.8205268,0.8211532,-0.0006264000000000269,reset_pulse,-6.69999999998172e-05,9.349253731369194,True,0.2321455
1,0.15297058540778352,True,1,0,False,True,0.8211532,0.8205268,0.0006264000000000269,reset_pulse,6.69999999998172e-05,9.349253731369194,True,0.2321455
