case,expected_sign,input_diff_mv,measured,measured_sign,ngspice_returncode,ngspice_timed_out,outn_final_v,outp_final_v,output_diff_final_v,pre_n_v,pre_p_v,resolved_correct_polarity
negative_target_edge,1,-0.15297058540778352,True,-1,0,False,0.4267021,1.799994,-1.37329,0.2017989,0.2069412,False
positive_target_edge,1,0.0,True,-1,0,False,0.4267021,1.799994,-1.37329,0.2016252,0.2079585,False
positive_target_edge,-1,0.15297058540778352,True,-1,0,False,0.4267021,1.799994,-1.37329,0.2007549,0.2079852,True
