term,value
adc_bits,12
dac_bits,10
output_noise_budget,0.004
adc_lsb,0.000244141
dac_lsb,0.000976562
adc_quantization_rms,7.04773e-05
dac_quantization_rms,0.000281909
settling_residual_fraction,0.00127263
settling_error_rms,0.000367378
comparator_noise_rms,0.00055
row_driver_noise_rms,0.00045
output_noise_rms,0.000851121
meets_output_noise_budget,True
adc_energy_per_conversion,4096.0
dac_energy_per_row_drive,143.36
conversion_time_ns,12.0
settling_time_ns,4.0
adc_area_um2,12288.0
dac_area_um2,2662.4
