adc_bits,dac_bits,comparator_noise,settling_fraction,row_drop_case_ohm,spice_row_drop_loss_pct,relative_error,energy_relative,latency_comparisons,useful,interpretation
7,3,0.012,0.97,100.0,6.932031250000015,0.20088019489476494,6.185185185185184,28,0,too much model-facing error
8,3,0.0,1.0,100.0,6.932031250000015,0.1709858198294224,12.11111111111111,32,0,too much model-facing error
8,3,0.0,0.97,100.0,6.932031250000015,0.19206849381270227,12.11111111111111,32,0,too much model-facing error
8,3,0.004,1.0,100.0,6.932031250000015,0.1709858198294224,12.11111111111111,32,0,too much model-facing error
8,3,0.004,0.97,100.0,6.932031250000015,0.1900673195016572,12.11111111111111,32,0,too much model-facing error
8,3,0.012,1.0,100.0,6.932031250000015,0.1709858198294224,12.11111111111111,32,0,too much model-facing error
8,3,0.012,0.97,100.0,6.932031250000015,0.20598799241112015,12.11111111111111,32,0,too much model-facing error
3,4,0.0,1.0,100.0,6.932031250000015,0.3889029604082076,1.0,12,0,too much model-facing error
3,4,0.0,0.97,100.0,6.932031250000015,0.3889029604082076,1.0,12,0,too much model-facing error
3,4,0.004,1.0,100.0,6.932031250000015,0.3889029604082076,1.0,12,0,too much model-facing error
3,4,0.004,0.97,100.0,6.932031250000015,0.3889029604082076,1.0,12,0,too much model-facing error
3,4,0.012,1.0,100.0,6.932031250000015,0.3889029604082076,1.0,12,0,too much model-facing error
3,4,0.012,0.97,100.0,6.932031250000015,0.3889029604082076,1.0,12,0,too much model-facing error
4,4,0.0,1.0,100.0,6.932031250000015,0.3796196183080618,1.0,16,0,too much model-facing error
4,4,0.0,0.97,100.0,6.932031250000015,0.48634451541602636,1.0,16,0,too much model-facing error
4,4,0.004,1.0,100.0,6.932031250000015,0.3796196183080618,1.0,16,0,too much model-facing error
4,4,0.004,0.97,100.0,6.932031250000015,0.48634451541602636,1.0,16,0,too much model-facing error
4,4,0.012,1.0,100.0,6.932031250000015,0.3796196183080618,1.0,16,0,too much model-facing error
4,4,0.012,0.97,100.0,6.932031250000015,0.3796196183080618,1.0,16,0,too much model-facing error
5,4,0.0,1.0,100.0,6.932031250000015,0.1851205305395241,1.7407407407407407,20,0,too much model-facing error
5,4,0.0,0.97,100.0,6.932031250000015,0.1851205305395241,1.7407407407407407,20,0,too much model-facing error
5,4,0.004,1.0,100.0,6.932031250000015,0.1851205305395241,1.7407407407407407,20,0,too much model-facing error
5,4,0.004,0.97,100.0,6.932031250000015,0.1851205305395241,1.7407407407407407,20,0,too much model-facing error
5,4,0.012,1.0,100.0,6.932031250000015,0.1851205305395241,1.7407407407407407,20,0,too much model-facing error
