expected_sign,input_diff_mv,itail_a,measured,measured_sign,name,ngspice_returncode,ngspice_timed_out,output_margin_pass,preamp_output_diff_v,rd_ohm,reset_mode,sample_diff_v,sample_to_sense_transfer_ratio,sense_diff_v,sense_to_preamp_gain_v_per_v,sign_preserved,tail_v,win
-1,-0.15297058540778352,5e-06,True,1,margin_300k_5ua_w1,0,False,True,0.0008039999999998049,300000.0,reset_pulse,-0.00015299999999995872,0.6405228758167184,-9.799999999993148e-05,8.204081632656807,False,0.4458812,1.0
1,0.15297058540778352,5e-06,True,1,margin_300k_5ua_w1,0,False,True,0.0012820000000000054,300000.0,reset_pulse,0.00015299999999995872,0.20915032679765122,-3.2000000000032e-05,40.0624999999601,True,0.4458811,1.0
-1,-0.15297058540778352,5e-06,True,1,margin_400k_5ua_w1,0,False,True,0.0009221999999999841,400000.0,reset_pulse,-0.00015299999999995872,0.6862745098042489,-0.00010500000000002174,8.782857142855173,False,0.415889,1.0
1,0.15297058540778352,5e-06,True,1,margin_400k_5ua_w1,0,False,True,0.001409100000000052,400000.0,reset_pulse,0.00015299999999995872,0.2549019607837304,-3.8999999999900226e-05,36.130769230862995,True,0.4158889,1.0
-1,-0.15297058540778352,5e-06,True,1,margin_500k_5ua_w1,0,False,True,0.000827499999999981,500000.0,reset_pulse,-0.00015299999999995872,0.6535947712419344,-9.999999999998899e-05,8.275000000000722,False,0.3862743,1.0
1,0.15297058540778352,5e-06,True,1,margin_500k_5ua_w1,0,False,True,0.0012910999999999895,500000.0,reset_pulse,0.00015299999999995872,0.2156862745095336,-3.2999999999949736e-05,39.1242424243017,True,0.3862742,1.0
-1,-0.15297058540778352,5e-06,True,1,margin_600k_5ua_w1,0,False,False,0.00020219999999998572,600000.0,reset_pulse,-0.00015299999999995872,0.4248366013086361,-6.500000000020378e-05,3.1107692307592583,False,0.3530103,1.0
1,0.15297058540778352,5e-06,True,1,margin_600k_5ua_w1,0,False,False,0.00046640000000003345,600000.0,reset_pulse,0.00015299999999995872,0.03267973856086314,4.999999999810711e-06,93.28000000353806,True,0.3530101,1.0
-1,-0.15297058540778352,4e-06,True,1,margin_500k_4ua_w1,0,False,True,0.0014473999999999876,500000.0,reset_pulse,-0.00015299999999995872,0.9019607843137823,-0.00013799999999997148,10.488405797103526,False,0.4295183,1.0
1,0.15297058540778352,4e-06,True,1,margin_500k_4ua_w1,0,False,True,0.0019409999999999705,500000.0,reset_pulse,0.00015299999999995872,0.4705882352947152,-7.2000000000072e-05,26.958333333305962,True,0.4295183,1.0
-1,-0.15297058540778352,6e-06,True,-1,margin_500k_6ua_w1,0,False,False,-3.519999999995749e-05,500000.0,reset_pulse,-0.00015299999999995872,0.2810457516341624,-4.300000000001525e-05,0.8186046511615117,True,0.3325839,1.0
1,0.15297058540778352,6e-06,True,1,margin_500k_6ua_w1,0,False,False,0.00012819999999996723,500000.0,reset_pulse,0.00015299999999995872,0.2156862745095336,3.2999999999949736e-05,3.884848484853409,True,0.3325838,1.0
