corrected_measured_sign,corrected_output_margin_pass,corrected_preamp_output_diff_v,corrected_sign_preserved,expected_sign,input_diff_mv,iso_rd_ohm,iso_tail_a,isolation_output_diff_v,isolation_to_preamp_gain_v_per_v,measured,name,ngspice_returncode,ngspice_timed_out,pre_rd_ohm,pre_tail_a,pre_w,preamp_output_diff_v,sample_diff_v,sample_to_sense_transfer_ratio,sense_diff_v,sense_to_isolation_gain_v_per_v,wiso,zero_input_preamp_output_diff_v
-1,True,-0.0007932000000000494,True,-1,-0.15297058540778352,120000.0,8e-06,0.0017180000000001083,7.5629220023278,True,medium_iso_pair_8ua,0,False,100000.0,2e-05,8.0,0.01299309999999998,-0.00015299999999995872,1.3464052287580657,-0.00020599999999992846,8.33980582524614,2.0,0.013786300000000029
1,True,0.0007977999999999597,True,1,0.15297058540778352,120000.0,8e-06,0.001970999999999945,7.399340436326939,True,medium_iso_pair_8ua,0,False,100000.0,2e-05,8.0,0.014584099999999989,0.00015299999999995872,1.0130718954244904,-0.00015499999999990521,12.716129032265487,2.0,0.013786300000000029
