case,expected_sign,half_lsb_12b_v,input_diff_mv,kickback_below_half_lsb,measured,measured_sign,ngspice_returncode,ngspice_timed_out,outn_final_v,outp_final_v,output_definition,output_diff_final_v,resolved_correct_polarity,sampled_diff_after_v,sampled_diff_before_v,sampled_diff_kickback_v,sampled_n_after_v,sampled_n_before_v,sampled_p_after_v,sampled_p_before_v
negative_target_edge,-1,0.0002197265625,-0.15297058540778352,False,True,1,0,False,0.412861,1.717669,outp_minus_outn,1.304808,False,0.011927899999999991,-4.899999999996574e-05,0.011976899999999957,0.7847176,0.7978325,0.7966455,0.7977835
positive_target_edge,1,0.0002197265625,0.15297058540778352,False,True,-1,0,False,1.717669,0.412861,outp_minus_outn,-1.304808,False,-0.011927899999999991,4.899999999996574e-05,0.011976899999999957,0.7966455,0.7977835,0.7847176,0.7978325
