case,expected_sign,gate_diff_after_v,gate_diff_before_v,half_lsb_12b_v,input_diff_mv,kickback_below_half_lsb,measured_sign,ngspice_returncode,ngspice_timed_out,ngspice_timeout_s,outn_final_v,outp_final_v,output_diff_final_v,resolved_correct_polarity,sampled_diff_after_v,sampled_diff_before_v,sampled_diff_kickback_v
extracted_rc_negative_target,-1,0.08448965,1.953000000000371e-05,0.0002197265625,-0.15297058540778352,True,-1,0,False,160,0.4267021,1.799994,-1.36621,True,1.940000000000275e-05,-8.529999999995486e-05,0.0001046999999999576
extracted_rc_positive_target,1,0.08451364,4.342999999999708e-05,0.0002197265625,0.15297058540778352,True,-1,0,False,160,0.4267021,1.799994,-1.36621,False,0.00019009999999997085,8.529999999995486e-05,0.00010480000000001599
