case,expected_sign,gain_v_per_v,input_common_mode_v,input_diff_mv,measured_sign,ngspice_returncode,ngspice_timed_out,ngspice_timeout_s,outn_v,outp_v,output_diff_v,polarity_correct,tail_v
negative_hard_budget_edge,-1,9.202013857742882,0.9,-0.15672656249985373,-1,0,False,120,0.7992788,0.800721,-0.00144220000000006,True,0.2310807
negative_target_edge,-1,9.201769060684017,0.9,-0.15297058540778352,-1,0,False,120,0.7992961,0.8007037,-0.0014076000000000644,True,0.2310807
negative_half_target,-1,9.201769060682565,0.9,-0.07648529270389176,-1,0,False,120,0.799648,0.8003518,-0.0007037999999999212,True,0.2310807
positive_half_target,1,9.201769060682565,0.9,0.07648529270389176,1,0,False,120,0.8003518,0.799648,0.0007037999999999212,True,0.2310807
positive_target_edge,1,9.201769060684017,0.9,0.15297058540778352,1,0,False,120,0.8007037,0.7992961,0.0014076000000000644,True,0.2310807
positive_hard_budget_edge,1,9.202013857742882,0.9,0.15672656249985373,1,0,False,120,0.800721,0.7992788,0.00144220000000006,True,0.2310807
