acquired_v,acquisition_abs_error_v,boot_v,case,half_lsb_12b_v,held_v,hold_abs_delta_v,measured_input_v,ngspice_returncode,ngspice_timed_out,ngspice_timeout_s,pass_acquisition_half_lsb_12b,pass_hold_delta_half_lsb_12b,pass_total_error_half_lsb_12b,target_input_v,total_abs_error_v
0.3,0.0,2.1,low_bootstrap,0.0002197265625,0.2914912,0.008508799999999983,0.3,0,False,180.0,True,False,False,0.3,0.008508799999999983
0.9,0.0,2.7,mid_bootstrap,0.0002197265625,0.8905432,0.009456800000000043,0.9,0,False,180.0,True,False,False,0.9,0.009456800000000043
1.5,0.0,3.3,high_bootstrap,0.0002197265625,1.489546,0.010453999999999963,1.5,0,False,180.0,True,False,False,1.5,0.010453999999999963
