comparator_offset_mv,decision_noise_rms_mv,sample_hold_error_v,decision_uncertainty_v,total_decision_error_v,half_lsb_12b_v,remaining_margin_v,passes_half_lsb_12b
0.0,0.0,6.300000000014627e-05,0.0,6.300000000014627e-05,0.0002197265625,0.00015672656249985373,True
0.0,0.03,6.300000000014627e-05,2.9999999999999997e-05,9.300000000014627e-05,0.0002197265625,0.00012672656249985374,True
0.0,0.05,6.300000000014627e-05,5e-05,0.00011300000000014627,0.0002197265625,0.00010672656249985374,True
0.0,0.08,6.300000000014627e-05,8e-05,0.00014300000000014627,0.0002197265625,7.672656249985374e-05,True
0.0,0.1,6.300000000014627e-05,0.0001,0.00016300000000014626,0.0002197265625,5.672656249985374e-05,True
0.05,0.0,6.300000000014627e-05,5e-05,0.00011300000000014627,0.0002197265625,0.00010672656249985374,True
0.05,0.03,6.300000000014627e-05,5.8309518948453004e-05,0.00012130951894859928,0.0002197265625,9.841704355140073e-05,True
0.05,0.05,6.300000000014627e-05,7.071067811865475e-05,0.000133710678118801,0.0002197265625,8.601588438119899e-05,True
0.05,0.08,6.300000000014627e-05,9.433981132056605e-05,0.00015733981132071232,0.0002197265625,6.238675117928769e-05,True
0.05,0.1,6.300000000014627e-05,0.00011180339887498949,0.00017480339887513576,0.0002197265625,4.4923163624864244e-05,True
0.1,0.0,6.300000000014627e-05,0.0001,0.00016300000000014626,0.0002197265625,5.672656249985374e-05,True
0.1,0.03,6.300000000014627e-05,0.0001044030650891055,0.00016740306508925177,0.0002197265625,5.232349741074823e-05,True
0.1,0.05,6.300000000014627e-05,0.00011180339887498949,0.00017480339887513576,0.0002197265625,4.4923163624864244e-05,True
0.1,0.08,6.300000000014627e-05,0.00012806248474865698,0.00019106248474880325,0.0002197265625,2.8664077751196752e-05,True
0.1,0.1,6.300000000014627e-05,0.0001414213562373095,0.00020442135623745578,0.0002197265625,1.5305206262544225e-05,True
0.15,0.0,6.300000000014627e-05,0.00015,0.00021300000000014626,0.0002197265625,6.726562499853746e-06,True
0.15,0.03,6.300000000014627e-05,0.00015297058540778352,0.0002159705854079298,0.0002197265625,3.755977092070211e-06,True
0.15,0.05,6.300000000014627e-05,0.00015811388300841894,0.00022111388300856521,0.0002197265625,-1.3873205085652095e-06,False
0.15,0.08,6.300000000014627e-05,0.00016999999999999999,0.00023300000000014626,0.0002197265625,-1.3273437500146252e-05,False
0.15,0.1,6.300000000014627e-05,0.00018027756377319947,0.00024327756377334574,0.0002197265625,-2.3551001273345733e-05,False
