rseg_ohm,v_in,v_n1,v_n2,v_n3,v_n4,spice_current_a,ideal_no_drop_current_a,distributed_model_current_a,row_drop_current_loss_pct,distributed_model_relative_error
25.0,0.8,0.792147,0.7862743,0.7823674,0.7804163,0.0003141205,0.00032,0.0003141205054472328,1.8373437500000116,1.7341220436329912e-08
100.0,0.8,0.7702182,0.7481387,0.7335405,0.7262777,0.0002978175,0.00032,0.00029781751457033407,6.932031250000015,4.892370021423827e-08
500.0,0.8,0.6826006,0.5993313,0.5460285,0.5200271,0.0002347988,0.00032,0.00023479875355995173,26.625375000000002,1.977865657143965e-07
