tool,source_id,target_object,payload_status,calibration_profile,candidate_count,accepted_as_positive_evidence,residual_relative,residual_q8,sensitivity_q8,analog_candidate,governor_decision,governor_action,governor_reason,next_cumulative_error_q8,bridge_reason
aihwkit,attention_block,attention-block.onnx static projection weights,wrote_payload_threshold_fail,aihwkit-held-out-affine-attention-block-v0,4,False,0.6099825005621208,156,224,0,0,0,not_analog_candidate,0,payload_not_ready_for_positive_claim
crosssim,attention_block,attention-block.onnx static projection weights,wrote_payload,crosssim-held-out-affine-attention-block-v0,4,True,4.177331466464009e-08,0,176,1,1,0,analog_within_budget,3,accepted_calibrated_payload
aihwkit,transformer_mlp_block,transformer-mlp-block.onnx fixed-weight MatMuls,wrote_payload_threshold_fail,aihwkit-held-out-affine-transformer-mlp-block-v0,4,False,0.6246638170974814,159,224,0,0,0,not_analog_candidate,0,payload_not_ready_for_positive_claim
crosssim,transformer_mlp_block,transformer-mlp-block.onnx fixed-weight MatMuls,wrote_payload,crosssim-held-out-affine-transformer-mlp-block-v0,4,True,4.94497815376823e-08,0,176,1,1,0,analog_within_budget,3,accepted_calibrated_payload
aihwkit,deep_transformer_mlp_stack,deep-transformer-mlp-stack.onnx 12 fixed-weight MatMuls,wrote_payload_threshold_fail,aihwkit-held-out-affine-deep-transformer-mlp-stack-v0,12,False,0.8698838129192049,222,224,0,0,0,not_analog_candidate,0,payload_not_ready_for_positive_claim
crosssim,deep_transformer_mlp_stack,deep-transformer-mlp-stack.onnx 12 fixed-weight MatMuls,wrote_payload,crosssim-held-out-affine-deep-transformer-mlp-stack-v0,12,True,6.716349688914575e-08,0,176,1,1,0,analog_within_budget,3,accepted_calibrated_payload
