expected_sign,input_diff_mv,iso_diff_after_v,iso_diff_before_v,measured,measured_sign,offset_corrected_measured_sign,offset_corrected_output_diff_v,offset_corrected_sign,outn_final_v,outp_final_v,output_diff_final_v,preamp_diff_after_v,preamp_diff_before_v,raw_diff_before_v,resolved_correct_polarity,sample_diff_after_v,sample_diff_before_v,sampled_diff_kickback_v,sense_diff_after_v,sense_diff_before_v,timed_out
-1,-0.15297058540778352,-0.00011890000000003287,0.0010593999999999881,True,1,-1,-2.6999999999999247e-05,True,0.8205436,1.778434,0.996533,-0.0011761000000000132,0.009597100000000025,0.030410700000000013,False,-0.00015299999999995872,-0.00015299999999995872,0.0,0.03859239999999997,-0.008228399999999914,False
0,0.0,-0.00012040000000002049,0.0010595999999999939,True,1,,,,0.8205463,1.778433,0.99656,-0.0011856000000000089,0.009598400000000007,0.03041499999999997,False,0.0,0.0,0.0,0.03859989999999991,-0.0082295,False
1,0.15297058540778352,-0.0001220000000000665,0.0010597999999999996,True,1,1,2.6999999999999247e-05,True,0.8205489,1.778432,0.996587,-0.0011951000000000045,0.009599600000000041,0.03041919999999998,True,0.00015299999999995872,0.00015299999999995872,0.0,0.03860730000000001,-0.00823050000000003,False
