case,target_diff_v,common_injection_mv,mismatch_injection_mv,acquired_p_v,acquired_n_v,held_p_v,held_n_v,acquired_diff_v,held_diff_v,p_hold_abs_delta_v,n_hold_abs_delta_v,diff_hold_abs_delta_v,half_lsb_12b_v,pass_diff_hold_delta_half_lsb_12b
common_only_small_signal,0.02,5.0,0.0,0.91,0.89,0.915,0.895,0.020000000000000018,0.020000000000000018,0.0050000000000000044,0.0050000000000000044,0.0,0.0002197265625,True
common_only_large_signal,0.8,5.0,0.0,1.3,0.5,1.305,0.505,0.8,0.7999999999999999,0.004999999999999893,0.0050000000000000044,1.1102230246251565e-16,0.0002197265625,True
mismatched_injection,0.2,5.0,0.3,1.0,0.8,1.005,0.8053,0.19999999999999996,0.19969999999999988,0.004999999999999893,0.005299999999999971,0.000300000000000078,0.0002197265625,False
