corrected_output_margin_pass,corrected_sign_preserved,error_excerpt,expected_sign,input_diff_mv,iso_rd_ohm,iso_tail_a,measured,name,ngspice_returncode,ngspice_timed_out,pre_rd_ohm,pre_tail_a,pre_w,wiso
False,False,"
No compatibility mode selected!


Circuit: * sky130 transistor active isolation before preamp.

Error on line 18 :
  vfloatcm float_cm 0 0.9
device already exists, existing one being used
    Simulation interrupted due to error!

Note: No "".plot"", "".print"", or "".fourier"" lines; no simulations run
",-1,-0.15297058540778352,560000.0,4e-06,False,extracted_560k_pre4_4ua,1,False,100000.0,2e-05,4.0,2.0
False,False,"
No compatibility mode selected!


Circuit: * sky130 transistor active isolation before preamp.

Error on line 18 :
  vfloatcm float_cm 0 0.9
device already exists, existing one being used
    Simulation interrupted due to error!

Note: No "".plot"", "".print"", or "".fourier"" lines; no simulations run
",1,0.15297058540778352,560000.0,4e-06,False,extracted_560k_pre4_4ua,1,False,100000.0,2e-05,4.0,2.0
