added_cap_f,added_cap_ff,added_coupling_delta_v,baseline_gate_diff_after_v,expected_sign,gate_diff_after_v,input_diff_mv,measured_gate_sign,method,sample_diff_after_v,sign_preserved
0.0,0.0,-0.0,0.011039000000000021,-1,0.011039000000000021,-0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,-0.00015297058540778352,False
0.0,0.0,0.0,0.01109300000000002,1,0.01109300000000002,0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,0.00015297058540778352,True
1e-16,0.09999999999999999,-7.921656425397787e-06,0.011039000000000021,-1,0.011031078343574623,-0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,-0.00015297058540778352,False
1e-16,0.09999999999999999,7.921656425397787e-06,0.01109300000000002,1,0.011100921656425417,0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,0.00015297058540778352,True
2e-16,0.19999999999999998,-1.506325408648731e-05,0.011039000000000021,-1,0.011023936745913534,-0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,-0.00015297058540778352,False
2e-16,0.19999999999999998,1.506325408648731e-05,0.01109300000000002,1,0.011108063254086507,0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,0.00015297058540778352,True
5e-16,0.5,-3.2811614228580536e-05,0.011039000000000021,-1,0.011006188385771441,-0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,-0.00015297058540778352,False
5e-16,0.5,3.2811614228580536e-05,0.01109300000000002,1,0.0111258116142286,0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,0.00015297058540778352,True
1e-15,1.0,-5.4033285282969525e-05,0.011039000000000021,-1,0.010984966714717052,-0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,-0.00015297058540778352,False
1e-15,1.0,5.4033285282969525e-05,0.01109300000000002,1,0.011147033285282989,0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,0.00015297058540778352,True
2e-15,2.0,-7.985843408607941e-05,0.011039000000000021,-1,0.010959141565913941,-0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,-0.00015297058540778352,False
2e-15,2.0,7.985843408607941e-05,0.01109300000000002,1,0.0111728584340861,0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,0.00015297058540778352,True
5e-15,5.0,-0.00011196720164058039,0.011039000000000021,-1,0.01092703279835944,-0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,-0.00015297058540778352,False
5e-15,5.0,0.00011196720164058039,0.01109300000000002,1,0.0112049672016406,0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,0.00015297058540778352,True
1e-14,10.0,-0.00012929592424091,0.011039000000000021,-1,0.010909704075759112,-0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,-0.00015297058540778352,False
1e-14,10.0,0.00012929592424091,0.01109300000000002,1,0.011222295924240929,0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,0.00015297058540778352,True
2e-14,20.0,-0.00014014041627239963,0.011039000000000021,-1,0.010898859583727622,-0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,-0.00015297058540778352,False
2e-14,20.0,0.00014014041627239963,0.01109300000000002,1,0.011233140416272418,0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,0.00015297058540778352,True
5e-14,50.0,-0.00014756656520883315,0.011039000000000021,-1,0.010891433434791188,-0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,-0.00015297058540778352,False
5e-14,50.0,0.00014756656520883315,0.01109300000000002,1,0.011240566565208852,0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,0.00015297058540778352,True
1e-13,100.0,-0.00015021998985386673,0.011039000000000021,-1,0.010888780010146154,-0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,-0.00015297058540778352,False
1e-13,100.0,0.00015021998985386673,0.01109300000000002,1,0.011243219989853887,0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,0.00015297058540778352,True
2e-13,200.0,-0.0001515828106849266,0.011039000000000021,-1,0.010887417189315095,-0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,-0.00015297058540778352,False
2e-13,200.0,0.0001515828106849266,0.01109300000000002,1,0.011244582810684946,0.15297058540778352,1,measured_baseline_plus_extracted_capacitive_divider,0.00015297058540778352,True
