case,coupling_cap_f,coupling_cap_ff,expected_sign,gate_n_after_v,gate_p_after_v,half_lsb_12b_v,input_diff_mv,kickback_below_half_lsb,measured,measured_sign,ngspice_returncode,ngspice_timed_out,outn_final_v,outp_final_v,output_definition,output_diff_final_v,resolved_correct_polarity,sampled_diff_after_v,sampled_diff_before_v,sampled_diff_kickback_v,sampled_n_after_v,sampled_n_before_v,sampled_p_after_v,sampled_p_before_v
ciso_0.1f_negative_1x_target,1.0000000000000001e-16,0.1,-1,-0.02143553,-0.3264123,0.0002197265625,-0.15297058540778352,True,True,-1,0,False,1.799994,0.4267021,outp_minus_outn,-1.3732919000000001,True,-0.0002046999999999466,-8.5600000000019e-05,0.0001190999999999276,0.9341725,0.9341418,0.9339678,0.9340562
ciso_0.1f_positive_1x_target,1.0000000000000001e-16,0.1,1,-0.3264123,-0.02143553,0.0002197265625,0.15297058540778352,True,True,1,0,False,0.4267021,1.799994,outp_minus_outn,1.3732919000000001,True,0.0002046999999999466,8.5600000000019e-05,0.0001190999999999276,0.9339678,0.9340562,0.9341725,0.9341418
ciso_0.1f_negative_2x_target,1.0000000000000001e-16,0.1,-1,-0.02142767,-0.3264196,0.0002197265625,-0.30594117081556704,True,True,-1,0,False,1.799994,0.4267021,outp_minus_outn,-1.3732919000000001,True,-0.00029040000000002397,-0.00017129999999998535,0.00011910000000003862,0.9342153,0.9341846,0.9339249,0.9340133
ciso_0.1f_positive_2x_target,1.0000000000000001e-16,0.1,1,-0.3264196,-0.02142767,0.0002197265625,0.30594117081556704,True,True,1,0,False,0.4267021,1.799994,outp_minus_outn,1.3732919000000001,True,0.00029040000000002397,0.00017129999999998535,0.00011910000000003862,0.9339249,0.9340133,0.9342153,0.9341846
ciso_0.1f_negative_5x_target,1.0000000000000001e-16,0.1,-1,-0.02140399,-0.3264419,0.0002197265625,-0.7648529270389176,True,True,-1,0,False,1.799994,0.4267021,outp_minus_outn,-1.3732919000000001,True,-0.0005473000000000283,-0.0004282000000001007,0.0001190999999999276,0.9343435,0.9343128,0.9337962,0.9338846
ciso_0.1f_positive_5x_target,1.0000000000000001e-16,0.1,1,-0.3264419,-0.02140399,0.0002197265625,0.7648529270389176,True,True,1,0,False,0.4267021,1.799994,outp_minus_outn,1.3732919000000001,True,0.0005473000000000283,0.0004282000000001007,0.0001190999999999276,0.9337962,0.9338846,0.9343435,0.9343128
ciso_0.2f_negative_1x_target,2.0000000000000002e-16,0.2,-1,-0.03074942,-0.2898937,0.0002197265625,-0.15297058540778352,True,True,-1,0,False,1.799994,0.4267021,outp_minus_outn,-1.3732919000000001,True,-0.0002879000000000076,-8.570000000007738e-05,0.0002021999999999302,0.9341917,0.9341399,0.9339038,0.9340542
ciso_0.2f_positive_1x_target,2.0000000000000002e-16,0.2,1,-0.2898937,-0.03074942,0.0002197265625,0.15297058540778352,True,True,1,0,False,0.4267021,1.799994,outp_minus_outn,1.3732919000000001,True,0.0002879000000000076,8.570000000007738e-05,0.0002021999999999302,0.9339038,0.9340542,0.9341917,0.9341399
ciso_0.2f_negative_2x_target,2.0000000000000002e-16,0.2,-1,-0.0307361,-0.2899064,0.0002197265625,-0.30594117081556704,True,True,-1,0,False,1.799994,0.4267021,outp_minus_outn,-1.3732919000000001,True,-0.0003735000000000266,-0.00017129999999998535,0.00020220000000004124,0.9342344,0.9341827,0.9338609,0.9340114
ciso_0.2f_positive_2x_target,2.0000000000000002e-16,0.2,1,-0.2899064,-0.0307361,0.0002197265625,0.30594117081556704,True,True,1,0,False,0.4267021,1.799994,outp_minus_outn,1.3732919000000001,True,0.0003735000000000266,0.00017129999999998535,0.00020220000000004124,0.9338609,0.9340114,0.9342344,0.9341827
ciso_0.2f_negative_5x_target,2.0000000000000002e-16,0.2,-1,-0.0306961,-0.2899447,0.0002197265625,-0.7648529270389176,True,True,-1,0,False,1.799994,0.4267021,outp_minus_outn,-1.3732919000000001,True,-0.0006304000000000309,-0.00042810000000004234,0.0002022999999999886,0.9343626,0.9343108,0.9337322,0.9338827
ciso_0.2f_positive_5x_target,2.0000000000000002e-16,0.2,1,-0.2899447,-0.0306961,0.0002197265625,0.7648529270389176,True,True,1,0,False,0.4267021,1.799994,outp_minus_outn,1.3732919000000001,True,0.0006304000000000309,0.00042810000000004234,0.0002022999999999886,0.9337322,0.9338827,0.9343626,0.9343108
