policy,qkv,attention_scores,output_projection,mlp,logits,measured_tile_residual,measured_tile_residual_q8,tile_residual_scale,state_error,attention_error,mlp_error,logit_error,attention_top_flip_rate,token_flip_rate,attention_probability_movement,logit_probability_movement,decision,reason
all_digital_reference,digital,digital,digital,digital,digital,0.09000426441791687,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,digital_reference,reference_path
measured_fixed_projection_tile,analog,digital,analog,analog,digital,0.09000426441791687,12,0.4,0.045043835321193174,0.06524996843200001,0.06367381907098402,0.04356426355260494,0.125,0.175,0.02361833622063908,0.02955550803006147,analog_path,measured_tile_within_budget
measured_projection_stressed_tile,analog,digital,analog,analog,digital,0.09000426441791687,12,1.0,0.11250777195463761,0.1619083534565186,0.15940036071850655,0.10867553387322013,0.175,0.2,0.05871312808144184,0.0734538449820896,digital_fallback,attention_selection_too_sensitive
measured_attention_scores_analog,analog,analog,analog,analog,digital,0.09000426441791687,12,0.65,0.07831782387832582,0.11656841013220613,0.1068786626872914,0.0762216481197048,0.175,0.125,0.05744679268827655,0.05120438129991434,digital_fallback,attention_selection_too_sensitive
measured_logits_analog,analog,digital,analog,analog,analog,0.09000426441791687,12,0.65,0.07315095784956752,0.10566038207532354,0.1035159542326503,0.09479124017948323,0.15,0.2,0.038286149352141224,0.06178714294946983,digital_fallback,token_choice_too_sensitive
