 time                   v(n0)                 
 0.000000000000000e+00  1.194560418560880e+00 
 2.000000000000000e-13  1.194560418560881e+00 
 4.000000000000000e-13  1.194560418560881e+00 
 8.000000000000000e-13  1.194560418560881e+00 
 1.600000000000000e-12  1.194560418560882e+00 
 3.200000000000000e-12  1.194560418560883e+00 
 6.400000000000000e-12  1.194560418560882e+00 
 1.280000000000000e-11  1.194560418560878e+00 
 2.560000000000000e-11  1.194560418560864e+00 
 4.560000000000000e-11  1.194560418560839e+00 
 6.560000000000000e-11  1.194560418560814e+00 
 8.559999999999999e-11  1.194560418560788e+00 
 1.056000000000000e-10  1.194560418560763e+00 
 1.256000000000000e-10  1.194560418560738e+00 
 1.456000000000000e-10  1.194560418560714e+00 
 1.656000000000000e-10  1.194560418560691e+00 
 1.856000000000000e-10  1.194560418560667e+00 
 2.056000000000000e-10  1.194560418560644e+00 
 2.256000000000000e-10  1.194560418560622e+00 
 2.456000000000000e-10  1.194560418560600e+00 
 2.656000000000000e-10  1.194560418560578e+00 
 2.856000000000000e-10  1.194560418560557e+00 
 3.056000000000000e-10  1.194560418560536e+00 
 3.255999999999999e-10  1.194560418560516e+00 
 3.455999999999999e-10  1.194560418560497e+00 
 3.655999999999999e-10  1.194560418560477e+00 
 3.855999999999999e-10  1.194560418560458e+00 
 4.055999999999999e-10  1.194560418560439e+00 
 4.255999999999999e-10  1.194560418560421e+00 
 4.455999999999998e-10  1.194560418560403e+00 
 4.655999999999998e-10  1.194560418560385e+00 
 4.855999999999999e-10  1.194560418560368e+00 
 5.055999999999999e-10  1.194560418560351e+00 
 5.255999999999999e-10  1.194560418560334e+00 
 5.456000000000000e-10  1.194560418560318e+00 
 5.656000000000000e-10  1.194560418560302e+00 
 5.856000000000000e-10  1.194560418560286e+00 
 6.056000000000001e-10  1.194560418560271e+00 
 6.256000000000001e-10  1.194560418560255e+00 
 6.456000000000001e-10  1.194560418560241e+00 
 6.656000000000002e-10  1.194560418560226e+00 
 6.856000000000002e-10  1.194560418560211e+00 
 7.056000000000002e-10  1.194560418560197e+00 
 7.256000000000003e-10  1.194560418560184e+00 
 7.456000000000003e-10  1.194560418560171e+00 
 7.656000000000003e-10  1.194560418560157e+00 
 7.856000000000004e-10  1.194560418560144e+00 
 8.056000000000004e-10  1.194560418560132e+00 
 8.256000000000004e-10  1.194560418560119e+00 
 8.456000000000005e-10  1.194560418560107e+00 
 8.656000000000005e-10  1.194560418560095e+00 
 8.856000000000005e-10  1.194560418560084e+00 
 9.056000000000006e-10  1.194560418560072e+00 
 9.256000000000006e-10  1.194560418560061e+00 
 9.456000000000005e-10  1.194560418560050e+00 
 9.656000000000005e-10  1.194560418560039e+00 
 9.856000000000004e-10  1.194560418560029e+00 
 1.005600000000000e-09  1.194560418560018e+00 
 1.025600000000000e-09  1.194560418560008e+00 
 1.045600000000000e-09  1.194560418559998e+00 
 1.065600000000000e-09  1.194560418559988e+00 
 1.085600000000000e-09  1.194560418559979e+00 
 1.105600000000000e-09  1.194560418559969e+00 
 1.125600000000000e-09  1.194560418559960e+00 
 1.145600000000000e-09  1.194560418559951e+00 
 1.165600000000000e-09  1.194560418559942e+00 
 1.185600000000000e-09  1.194560418559933e+00 
 1.205600000000000e-09  1.194560418559925e+00 
 1.225600000000000e-09  1.194560418559917e+00 
 1.245600000000000e-09  1.194560418559909e+00 
 1.265599999999999e-09  1.194560418559900e+00 
 1.285599999999999e-09  1.194560418559892e+00 
 1.305599999999999e-09  1.194560418559884e+00 
 1.325599999999999e-09  1.194560418559877e+00 
 1.345599999999999e-09  1.194560418559870e+00 
 1.365599999999999e-09  1.194560418559862e+00 
 1.385599999999999e-09  1.194560418559855e+00 
 1.405599999999999e-09  1.194560418559848e+00 
 1.425599999999999e-09  1.194560418559841e+00 
 1.445599999999999e-09  1.194560418559834e+00 
 1.465599999999999e-09  1.194560418559827e+00 
 1.485599999999999e-09  1.194560418559820e+00 
 1.505599999999999e-09  1.194560418559813e+00 
 1.525599999999999e-09  1.194560418559806e+00 
 1.545599999999998e-09  1.194560418559800e+00 
 1.565599999999998e-09  1.194560418559794e+00 
 1.585599999999998e-09  1.194560418559788e+00 
 1.605599999999998e-09  1.194560418559782e+00 
 1.625599999999998e-09  1.194560418559776e+00 
 1.645599999999998e-09  1.194560418559770e+00 
 1.665599999999998e-09  1.194560418559764e+00 
 1.685599999999998e-09  1.194560418559758e+00 
 1.705599999999998e-09  1.194560418559753e+00 
 1.725599999999998e-09  1.194560418559748e+00 
 1.745599999999998e-09  1.194560418559743e+00 
 1.765599999999998e-09  1.194560418559738e+00 
 1.785599999999998e-09  1.194560418559732e+00 
 1.805599999999998e-09  1.194560418559727e+00 
 1.825599999999998e-09  1.194560418559723e+00 
 1.845599999999997e-09  1.194560418559718e+00 
 1.865599999999997e-09  1.194560418559713e+00 
 1.885599999999997e-09  1.194560418559709e+00 
 1.905599999999997e-09  1.194560418559704e+00 
 1.925599999999997e-09  1.194560418559700e+00 
 1.945599999999997e-09  1.194560418559696e+00 
 1.965599999999997e-09  1.194560418559692e+00 
 1.985599999999997e-09  1.194560418559688e+00 
 2.005599999999997e-09  1.194560418559683e+00 
 2.025599999999997e-09  1.194560418559679e+00 
 2.045599999999997e-09  1.194560418559675e+00 
 2.065599999999997e-09  1.194560418559672e+00 
 2.085599999999997e-09  1.194560418559668e+00 
 2.105599999999997e-09  1.194560418559664e+00 
 2.125599999999996e-09  1.194560418559660e+00 
 2.145599999999996e-09  1.194560418559657e+00 
 2.165599999999996e-09  1.194560418559653e+00 
 2.185599999999996e-09  1.194560418559650e+00 
 2.205599999999996e-09  1.194560418559647e+00 
 2.225599999999996e-09  1.194560418559643e+00 
 2.245599999999996e-09  1.194560418559640e+00 
 2.265599999999996e-09  1.194560418559637e+00 
 2.285599999999996e-09  1.194560418559634e+00 
 2.305599999999996e-09  1.194560418559631e+00 
 2.325599999999996e-09  1.194560418559628e+00 
 2.345599999999996e-09  1.194560418559625e+00 
 2.365599999999996e-09  1.194560418559622e+00 
 2.385599999999996e-09  1.194560418559619e+00 
 2.405599999999995e-09  1.194560418559616e+00 
 2.425599999999995e-09  1.194560418559613e+00 
 2.445599999999995e-09  1.194560418559610e+00 
 2.465599999999995e-09  1.194560418559608e+00 
 2.485599999999995e-09  1.194560418559605e+00 
 2.505599999999995e-09  1.194560418559603e+00 
 2.525599999999995e-09  1.194560418559600e+00 
 2.545599999999995e-09  1.194560418559597e+00 
 2.565599999999995e-09  1.194560418559594e+00 
 2.585599999999995e-09  1.194560418559592e+00 
 2.605599999999995e-09  1.194560418559590e+00 
 2.625599999999995e-09  1.194560418559588e+00 
 2.645599999999995e-09  1.194560418559585e+00 
 2.665599999999995e-09  1.194560418559583e+00 
 2.685599999999995e-09  1.194560418559582e+00 
 2.705599999999994e-09  1.194560418559580e+00 
 2.725599999999994e-09  1.194560418559578e+00 
 2.745599999999994e-09  1.194560418559576e+00 
 2.765599999999994e-09  1.194560418559574e+00 
 2.785599999999994e-09  1.194560418559573e+00 
 2.805599999999994e-09  1.194560418559571e+00 
 2.825599999999994e-09  1.194560418559569e+00 
 2.845599999999994e-09  1.194560418559568e+00 
 2.865599999999994e-09  1.194560418559566e+00 
 2.885599999999994e-09  1.194560418559564e+00 
 2.905599999999994e-09  1.194560418559562e+00 
 2.925599999999994e-09  1.194560418559561e+00 
 2.945599999999994e-09  1.194560418559559e+00 
 2.965599999999994e-09  1.194560418559557e+00 
 2.985599999999993e-09  1.194560418559555e+00 
 3.005599999999993e-09  1.194560418559553e+00 
 3.025599999999993e-09  1.194560418559552e+00 
 3.045599999999993e-09  1.194560418559550e+00 
 3.065599999999993e-09  1.194560418559549e+00 
 3.085599999999993e-09  1.194560418559548e+00 
 3.105599999999993e-09  1.194560418559546e+00 
 3.125599999999993e-09  1.194560418559545e+00 
 3.145599999999993e-09  1.194560418559544e+00 
 3.165599999999993e-09  1.194560418559542e+00 
 3.185599999999993e-09  1.194560418559541e+00 
 3.205599999999993e-09  1.194560418559539e+00 
 3.225599999999993e-09  1.194560418559538e+00 
 3.245599999999993e-09  1.194560418559538e+00 
 3.265599999999993e-09  1.194560418559537e+00 
