 time                   v(decision_p)          v(decision_n)          v(row_drive)           v(sar_comparator_input)
 2.000000000000000e-13  6.411714284195544e-01  6.413152131011313e-01  8.500000000000000e-01  9.500000000000001e-01 
 2.112000000000505e-13  6.530278433759007e-01  6.531657987920413e-01  8.500000000000000e-01  9.500000000000001e-01 
 2.336000000001515e-13  6.703014692082743e-01  6.704308711962412e-01  8.500000000000000e-01  9.500000000000001e-01 
 2.784000000003536e-13  6.879607370376677e-01  6.880805553529338e-01  8.500000000000000e-01  9.500000000000001e-01 
 3.680000000007578e-13  6.974143285456817e-01  6.975265935006619e-01  8.500000000000000e-01  9.500000000000001e-01 
 5.472000000015660e-13  6.952259338167810e-01  6.953350216761388e-01  8.500000000000000e-01  9.500000000000001e-01 
 8.007611035926546e-13  6.905843827882636e-01  6.906935821364251e-01  8.500000000000000e-01  9.500000000000001e-01 
 1.238670693941429e-12  6.895753946179128e-01  6.896842396161764e-01  8.500000000000000e-01  9.500000000000001e-01 
 1.879185318889159e-12  6.910670454888683e-01  6.911741859125586e-01  8.500000000000000e-01  9.500000000000001e-01 
 3.160214568784619e-12  6.933734555087540e-01  6.934768415150783e-01  8.500000000000000e-01  9.500000000000001e-01 
 5.722273068575539e-12  6.972598667054960e-01  6.973558636956391e-01  8.500000000000000e-01  9.500000000000001e-01 
 1.084639006815738e-11  7.050106164947997e-01  7.050920267534341e-01  8.500000000000000e-01  9.500000000000001e-01 
 2.000000000000000e-11  7.188043699957942e-01  7.188601776549060e-01  8.500000000000000e-01  9.500000000000001e-01 
 2.102482339991637e-11  7.203406694717939e-01  7.203936491781077e-01  8.500000000000000e-01  9.500000000000001e-01 
 2.307447019974910e-11  7.234085619453600e-01  7.234559011221565e-01  8.500000000000000e-01  9.500000000000001e-01 
 2.717376379941458e-11  7.295240766276375e-01  7.295602045135496e-01  8.500000000000000e-01  9.500000000000001e-01 
 3.537235099874552e-11  7.416657379433795e-01  7.416797015648611e-01  8.500000000000000e-01  9.500000000000001e-01 
 5.176952539740741e-11  7.655390682680165e-01  7.655094963591864e-01  8.500000000000000e-01  9.500000000000001e-01 
 7.176952539740740e-11  7.938016000440753e-01  7.937197513338500e-01  8.500000000000000e-01  9.500000000000001e-01 
 9.176952539740740e-11  8.209936471615501e-01  8.208596875283322e-01  8.500000000000000e-01  9.500000000000001e-01 
