 time                   v(n0)                 
 0.000000000000000e+00  1.194560418560880e+00 
 2.000000000000000e-13  1.194560418560881e+00 
 4.000000000000000e-13  1.194560418560881e+00 
 8.000000000000000e-13  1.194560418560881e+00 
 1.600000000000000e-12  1.194560418560881e+00 
 3.200000000000000e-12  1.194560418560880e+00 
 6.400000000000000e-12  1.194560418560880e+00 
 1.280000000000000e-11  1.194560418560879e+00 
 2.560000000000000e-11  1.194560418560878e+00 
 4.560000000000000e-11  1.194560418560877e+00 
 6.560000000000000e-11  1.194560418560875e+00 
 8.559999999999999e-11  1.194560418560873e+00 
 1.056000000000000e-10  1.194560418560871e+00 
 1.256000000000000e-10  1.194560418560868e+00 
 1.456000000000000e-10  1.194560418560866e+00 
 1.656000000000000e-10  1.194560418560864e+00 
 1.856000000000000e-10  1.194560418560862e+00 
 2.056000000000000e-10  1.194560418560859e+00 
 2.256000000000000e-10  1.194560418560857e+00 
 2.456000000000000e-10  1.194560418560855e+00 
 2.656000000000000e-10  1.194560418560853e+00 
 2.856000000000000e-10  1.194560418560851e+00 
 3.056000000000000e-10  1.194560418560849e+00 
 3.255999999999999e-10  1.194560418560846e+00 
 3.455999999999999e-10  1.194560418560844e+00 
 3.655999999999999e-10  1.194560418560842e+00 
 3.855999999999999e-10  1.194560418560840e+00 
 4.055999999999999e-10  1.194560418560838e+00 
 4.255999999999999e-10  1.194560418560837e+00 
 4.455999999999998e-10  1.194560418560835e+00 
 4.655999999999998e-10  1.194560418560833e+00 
 4.855999999999999e-10  1.194560418560831e+00 
 5.055999999999999e-10  1.194560418560829e+00 
 5.255999999999999e-10  1.194560418560827e+00 
 5.456000000000000e-10  1.194560418560824e+00 
 5.656000000000000e-10  1.194560418560822e+00 
 5.856000000000000e-10  1.194560418560819e+00 
 6.056000000000001e-10  1.194560418560817e+00 
 6.256000000000001e-10  1.194560418560815e+00 
 6.456000000000001e-10  1.194560418560812e+00 
 6.656000000000002e-10  1.194560418560810e+00 
 6.856000000000002e-10  1.194560418560807e+00 
 7.056000000000002e-10  1.194560418560805e+00 
 7.256000000000003e-10  1.194560418560802e+00 
 7.456000000000003e-10  1.194560418560800e+00 
 7.656000000000003e-10  1.194560418560797e+00 
 7.856000000000004e-10  1.194560418560795e+00 
 8.056000000000004e-10  1.194560418560792e+00 
 8.256000000000004e-10  1.194560418560790e+00 
 8.456000000000005e-10  1.194560418560787e+00 
 8.656000000000005e-10  1.194560418560785e+00 
 8.856000000000005e-10  1.194560418560783e+00 
 9.056000000000006e-10  1.194560418560780e+00 
 9.256000000000006e-10  1.194560418560778e+00 
 9.456000000000005e-10  1.194560418560776e+00 
 9.656000000000005e-10  1.194560418560774e+00 
 9.856000000000004e-10  1.194560418560771e+00 
 1.005600000000000e-09  1.194560418560769e+00 
 1.025600000000000e-09  1.194560418560767e+00 
 1.045600000000000e-09  1.194560418560765e+00 
 1.065600000000000e-09  1.194560418560763e+00 
 1.085600000000000e-09  1.194560418560761e+00 
 1.105600000000000e-09  1.194560418560759e+00 
 1.125600000000000e-09  1.194560418560757e+00 
 1.145600000000000e-09  1.194560418560754e+00 
 1.165600000000000e-09  1.194560418560752e+00 
 1.185600000000000e-09  1.194560418560750e+00 
 1.205600000000000e-09  1.194560418560748e+00 
 1.225600000000000e-09  1.194560418560746e+00 
 1.245600000000000e-09  1.194560418560743e+00 
 1.265599999999999e-09  1.194560418560741e+00 
 1.285599999999999e-09  1.194560418560739e+00 
 1.305599999999999e-09  1.194560418560736e+00 
 1.325599999999999e-09  1.194560418560734e+00 
 1.345599999999999e-09  1.194560418560731e+00 
 1.365599999999999e-09  1.194560418560729e+00 
 1.385599999999999e-09  1.194560418560727e+00 
 1.405599999999999e-09  1.194560418560725e+00 
 1.425599999999999e-09  1.194560418560723e+00 
 1.445599999999999e-09  1.194560418560721e+00 
 1.465599999999999e-09  1.194560418560719e+00 
 1.485599999999999e-09  1.194560418560716e+00 
 1.505599999999999e-09  1.194560418560714e+00 
 1.525599999999999e-09  1.194560418560712e+00 
 1.545599999999998e-09  1.194560418560710e+00 
 1.565599999999998e-09  1.194560418560708e+00 
 1.585599999999998e-09  1.194560418560706e+00 
 1.605599999999998e-09  1.194560418560703e+00 
 1.625599999999998e-09  1.194560418560701e+00 
 1.645599999999998e-09  1.194560418560699e+00 
 1.665599999999998e-09  1.194560418560697e+00 
 1.685599999999998e-09  1.194560418560695e+00 
 1.705599999999998e-09  1.194560418560692e+00 
 1.725599999999998e-09  1.194560418560690e+00 
 1.745599999999998e-09  1.194560418560688e+00 
 1.765599999999998e-09  1.194560418560686e+00 
 1.785599999999998e-09  1.194560418560684e+00 
 1.805599999999998e-09  1.194560418560682e+00 
 1.825599999999998e-09  1.194560418560679e+00 
 1.845599999999997e-09  1.194560418560677e+00 
 1.865599999999997e-09  1.194560418560675e+00 
 1.885599999999997e-09  1.194560418560673e+00 
 1.905599999999997e-09  1.194560418560671e+00 
 1.925599999999997e-09  1.194560418560669e+00 
 1.945599999999997e-09  1.194560418560667e+00 
 1.965599999999997e-09  1.194560418560665e+00 
 1.985599999999997e-09  1.194560418560663e+00 
 2.005599999999997e-09  1.194560418560661e+00 
 2.025599999999997e-09  1.194560418560659e+00 
 2.045599999999997e-09  1.194560418560657e+00 
 2.065599999999997e-09  1.194560418560656e+00 
 2.085599999999997e-09  1.194560418560654e+00 
 2.105599999999997e-09  1.194560418560652e+00 
 2.125599999999996e-09  1.194560418560650e+00 
 2.145599999999996e-09  1.194560418560648e+00 
 2.165599999999996e-09  1.194560418560646e+00 
 2.185599999999996e-09  1.194560418560644e+00 
 2.205599999999996e-09  1.194560418560642e+00 
 2.225599999999996e-09  1.194560418560640e+00 
 2.245599999999996e-09  1.194560418560638e+00 
 2.265599999999996e-09  1.194560418560636e+00 
 2.285599999999996e-09  1.194560418560634e+00 
 2.305599999999996e-09  1.194560418560632e+00 
 2.325599999999996e-09  1.194560418560630e+00 
 2.345599999999996e-09  1.194560418560628e+00 
 2.365599999999996e-09  1.194560418560626e+00 
 2.385599999999996e-09  1.194560418560625e+00 
 2.405599999999995e-09  1.194560418560623e+00 
 2.425599999999995e-09  1.194560418560621e+00 
 2.445599999999995e-09  1.194560418560619e+00 
 2.465599999999995e-09  1.194560418560617e+00 
 2.485599999999995e-09  1.194560418560615e+00 
 2.505599999999995e-09  1.194560418560613e+00 
 2.525599999999995e-09  1.194560418560612e+00 
 2.545599999999995e-09  1.194560418560610e+00 
 2.565599999999995e-09  1.194560418560608e+00 
 2.585599999999995e-09  1.194560418560606e+00 
 2.605599999999995e-09  1.194560418560604e+00 
 2.625599999999995e-09  1.194560418560603e+00 
 2.645599999999995e-09  1.194560418560601e+00 
 2.665599999999995e-09  1.194560418560599e+00 
 2.685599999999995e-09  1.194560418560597e+00 
 2.705599999999994e-09  1.194560418560596e+00 
 2.725599999999994e-09  1.194560418560594e+00 
 2.745599999999994e-09  1.194560418560592e+00 
 2.765599999999994e-09  1.194560418560590e+00 
 2.785599999999994e-09  1.194560418560588e+00 
 2.805599999999994e-09  1.194560418560587e+00 
 2.825599999999994e-09  1.194560418560585e+00 
 2.845599999999994e-09  1.194560418560583e+00 
 2.865599999999994e-09  1.194560418560581e+00 
 2.885599999999994e-09  1.194560418560579e+00 
 2.905599999999994e-09  1.194560418560578e+00 
 2.925599999999994e-09  1.194560418560576e+00 
 2.945599999999994e-09  1.194560418560574e+00 
 2.965599999999994e-09  1.194560418560572e+00 
 2.985599999999993e-09  1.194560418560571e+00 
 3.005599999999993e-09  1.194560418560569e+00 
 3.025599999999993e-09  1.194560418560568e+00 
 3.045599999999993e-09  1.194560418560566e+00 
 3.065599999999993e-09  1.194560418560564e+00 
 3.085599999999993e-09  1.194560418560562e+00 
 3.105599999999993e-09  1.194560418560560e+00 
 3.125599999999993e-09  1.194560418560559e+00 
 3.145599999999993e-09  1.194560418560557e+00 
 3.165599999999993e-09  1.194560418560556e+00 
 3.185599999999993e-09  1.194560418560554e+00 
 3.205599999999993e-09  1.194560418560552e+00 
 3.225599999999993e-09  1.194560418560550e+00 
 3.245599999999993e-09  1.194560418560549e+00 
 3.265599999999993e-09  1.194560418560547e+00 
