 time                   v(n0)                 
 0.000000000000000e+00  1.216544135505607e-01 
 2.000000000000000e-13  1.216544135505607e-01 
 4.000000000000000e-13  1.216544135505607e-01 
 8.000000000000000e-13  1.216544135505607e-01 
 1.600000000000000e-12  1.216544135505606e-01 
 3.200000000000000e-12  1.216544135505606e-01 
 6.400000000000000e-12  1.216544135505607e-01 
 1.280000000000000e-11  1.216544135505607e-01 
 2.560000000000000e-11  1.216544135505607e-01 
 4.560000000000000e-11  1.216544135505608e-01 
 6.560000000000000e-11  1.216544135505608e-01 
 8.559999999999999e-11  1.216544135505608e-01 
 1.056000000000000e-10  1.216544135505608e-01 
 1.256000000000000e-10  1.216544135505608e-01 
 1.456000000000000e-10  1.216544135505608e-01 
 1.656000000000000e-10  1.216544135505608e-01 
 1.856000000000000e-10  1.216544135505608e-01 
 2.056000000000000e-10  1.216544135505608e-01 
 2.256000000000000e-10  1.216544135505608e-01 
 2.456000000000000e-10  1.216544135505608e-01 
 2.656000000000000e-10  1.216544135505607e-01 
 2.856000000000000e-10  1.216544135505607e-01 
 3.056000000000000e-10  1.216544135505607e-01 
 3.255999999999999e-10  1.216544135505608e-01 
 3.455999999999999e-10  1.216544135505608e-01 
 3.655999999999999e-10  1.216544135505608e-01 
 3.855999999999999e-10  1.216544135505608e-01 
 4.055999999999999e-10  1.216544135505609e-01 
 4.255999999999999e-10  1.216544135505609e-01 
 4.455999999999998e-10  1.216544135505609e-01 
 4.655999999999998e-10  1.216544135505609e-01 
 4.855999999999999e-10  1.216544135505609e-01 
 5.055999999999999e-10  1.216544135505609e-01 
 5.255999999999999e-10  1.216544135505609e-01 
 5.456000000000000e-10  1.216544135505608e-01 
 5.656000000000000e-10  1.216544135505608e-01 
 5.856000000000000e-10  1.216544135505609e-01 
 6.056000000000001e-10  1.216544135505609e-01 
 6.256000000000001e-10  1.216544135505609e-01 
 6.456000000000001e-10  1.216544135505609e-01 
 6.656000000000002e-10  1.216544135505608e-01 
 6.856000000000002e-10  1.216544135505608e-01 
 7.056000000000002e-10  1.216544135505608e-01 
 7.256000000000003e-10  1.216544135505608e-01 
 7.456000000000003e-10  1.216544135505608e-01 
 7.656000000000003e-10  1.216544135505609e-01 
 7.856000000000004e-10  1.216544135505609e-01 
 8.056000000000004e-10  1.216544135505609e-01 
 8.256000000000004e-10  1.216544135505609e-01 
 8.456000000000005e-10  1.216544135505609e-01 
 8.656000000000005e-10  1.216544135505609e-01 
 8.856000000000005e-10  1.216544135505609e-01 
 9.056000000000006e-10  1.216544135505608e-01 
 9.256000000000006e-10  1.216544135505608e-01 
 9.456000000000005e-10  1.216544135505608e-01 
 9.656000000000005e-10  1.216544135505608e-01 
 9.856000000000004e-10  1.216544135505608e-01 
 1.005600000000000e-09  1.216544135505608e-01 
 1.025600000000000e-09  1.216544135505608e-01 
 1.045600000000000e-09  1.216544135505608e-01 
 1.065600000000000e-09  1.216544135505607e-01 
 1.085600000000000e-09  1.216544135505608e-01 
 1.105600000000000e-09  1.216544135505607e-01 
 1.125600000000000e-09  1.216544135505608e-01 
 1.145600000000000e-09  1.216544135505608e-01 
 1.165600000000000e-09  1.216544135505607e-01 
 1.185600000000000e-09  1.216544135505608e-01 
 1.205600000000000e-09  1.216544135505608e-01 
 1.225600000000000e-09  1.216544135505608e-01 
 1.245600000000000e-09  1.216544135505608e-01 
 1.265599999999999e-09  1.216544135505607e-01 
 1.285599999999999e-09  1.216544135505608e-01 
 1.305599999999999e-09  1.216544135505608e-01 
 1.325599999999999e-09  1.216544135505608e-01 
 1.345599999999999e-09  1.216544135505608e-01 
 1.365599999999999e-09  1.216544135505608e-01 
 1.385599999999999e-09  1.216544135505607e-01 
 1.405599999999999e-09  1.216544135505608e-01 
 1.425599999999999e-09  1.216544135505607e-01 
 1.445599999999999e-09  1.216544135505607e-01 
 1.465599999999999e-09  1.216544135505607e-01 
 1.485599999999999e-09  1.216544135505607e-01 
 1.505599999999999e-09  1.216544135505608e-01 
 1.525599999999999e-09  1.216544135505608e-01 
 1.545599999999998e-09  1.216544135505607e-01 
 1.565599999999998e-09  1.216544135505608e-01 
 1.585599999999998e-09  1.216544135505608e-01 
 1.605599999999998e-09  1.216544135505608e-01 
 1.625599999999998e-09  1.216544135505607e-01 
 1.645599999999998e-09  1.216544135505608e-01 
 1.665599999999998e-09  1.216544135505607e-01 
 1.685599999999998e-09  1.216544135505607e-01 
 1.705599999999998e-09  1.216544135505608e-01 
 1.725599999999998e-09  1.216544135505607e-01 
 1.745599999999998e-09  1.216544135505608e-01 
